State,FY2010Sales,CigPrice,AdultSmokers,CigYouthRate,CigAdultRate,LungCancerRate,EsophCancerRate,BladderCancerRate,KidneyCancerRate,LiverCancerRate,Pop2010
AL,336.8,4.48,805400,20.8,22.5,61.5,4.3,3.6,3.7,5.9,4779736
AK,30.6,6.91,106000,15.7,20.6,56.1,3.8,NA,5.0,4.4,710231
AZ,163.7,6.27,783000,19.7,16.1,39.4,3.8,4.0,3.4,5.1,6392017
AR,182.8,5.28,468500,20.3,21.5,63.6,3.9,4.8,3.8,5.9,2915918
CA,971.9,5.26,3550800,15.4,12.9,39.5,3.5,4.1,3.6,6.7,37253956
CO,208.2,4.79,649200,17.7,17.1,37.7,3.8,3.9,4.0,4.6,5029196
CT,143.7,7.7,417300,15.3,15.4,45.9,4.6,5.1,3.5,4.2,3574097
DE,84.1,5.09,124000,19,18.3,57,4.2,4.1,5.1,5.3,897934
DC,13.9,6.87,74300,10.6,15.3,47.2,5.6,3.9,NA,7.8,601723
FL,927.7,5.34,2476100,13.1,17.1,48.8,4.1,4.3,3.6,5.1,18801310
GA,544,4.37,1282400,16.9,17.7,54.8,4,4.2,3.7,4.9,9687653
HI,46.9,8.19,154700,11.3,15.4,36,3.8,2.7,3.2,6.9,1360301
ID,71.8,4.56,183600,14.5,16.3,41.6,4.3,4.7,3.9,3.6,1567582
IL,569.6,5.7,1810300,18.1,18.6,54,4.7,4.4,4.1,4.9,12830632
IN,460.8,5.03,1116500,23.5,23.1,61.4,5,4.3,4.5,4.3,6483802
IA,154.3,5.54,394600,18.9,17.2,52.4,4.5,4.4,5.7,4.3,3046355
KS,127.4,4.85,376200,16.9,17.8,51.3,3.6,4.0,4.5,4,2853118
KY,477.4,4.45,844700,26.1,25.6,74.6,4.7,4.2,5.0,4.9,4339367
LA,333.5,4.34,744400,19.4,22.1,58.9,4.4,3.5,4.9,7,4533372
ME,69.8,6.18,181100,18.1,17.3,56.3,5.9,6.7,4.8,4.7,1328361
MD,199.6,6.04,660800,11.9,15.2,50.3,4.8,4.4,4.1,5.2,5773552
MA,222,7.19,774000,16,15,50.8,5.1,4.7,4.0,5.7,6547629
MI,486.1,6,1493400,18.8,19.6,55.5,4.7,4.8,4.3,4.9,9883640
MN,245,5.27,672900,19.1,16.8,45.7,4.2,3.9,4.5,5.1,5303925
MS,207.4,4.71,508900,19.6,23.3,64.5,3.9,3.2,4.4,6.3,2967297
MO,552.8,3.93,1052400,18.9,23.1,60.3,4.3,4.5,3.8,5.1,5988927
MT,46.2,5.58,126800,18.7,16.8,51.4,5.1,4.8,3.3,4.1,989415
NE,98.8,4.8,224600,22.3,16.7,49.1,4.1,4.2,4.0,3.9,1826341
NV,127,4.88,431600,17,22,53.9,4.3,4.6,4.1,6.5,2700551
NH,128.6,5.34,163600,20.8,15.8,53.3,5.7,5.5,4.2,5.1,1316470
NJ,271.1,7.1,1052500,17,15.8,47.1,4,4.9,3.4,4.7,8791894
NM,61,5.7,268300,24,17.9,37.8,3,3.4,4.7,6.6,2059179
NY,471.3,9.11,2721100,14.8,18,44.2,4.2,4.5,3.4,5.5,19378102
NC,577.3,4.53,1441800,16.7,20.3,57.8,3.7,4.2,4.2,4.8,9535483
ND,44.9,4.24,93500,22.4,18.6,41.1,3.3,4.9,5.6,4,672591
OH,684.1,5.32,1792100,19.4,20.3,59,5.2,5.0,4.6,4.8,11536504
OK,262.5,4.87,705800,20.2,25.5,64,4.9,4.7,4.6,5.3,3751351
OR,171.1,4.94,528500,14.9,17.9,50,4.9,4.5,3.2,4.7,3831074
PA,719,5.47,1985500,18.4,20.2,52,5.1,4.9,3.7,5.2,12702379
RI,39.1,7.58,124700,13.3,15.1,54.6,5.3,5.2,3.4,5.2,1052567
SC,385.5,4.56,710000,20.5,20.4,56.4,4,3.9,4.6,4.9,4625364
SD,39.5,5.58,107200,23.2,17.5,46.8,4.9,3.5,4.8,4,814180
TN,457.2,4.75,1056600,20.9,22,65.8,4,4.2,4.3,5.2,6346105
TX,947.8,5.47,3201600,21.2,17.9,47.6,3.7,3.9,4.5,6.9,25145561
UT,74.4,5.69,187700,8.5,9.8,22,3.1,3.1,2.7,4.1,2763885
VT,29.7,7.01,84700,17.6,17.1,56.4,5.4,5.6,3.9,3.6,625741
VA,543.3,4.43,1146700,19.7,19,53,4.1,4.3,3.9,4.8,8001024
WA,170.6,7.37,759000,14.4,14.9,49.8,4.9,4.9,4.1,5.8,6724540
WV,205.6,4.45,366900,21.8,25.6,66.5,4.8,4.9,4.7,5.1,1852994
WI,273.6,6.71,816700,17.7,18.8,48.6,4.8,4.6,4.3,4.7,5686986
WY,35.8,4.64,82000,22.1,19.9,46.1,4.5,3.7,4.8,4.2,563626
